threshold,accuracy,precision,pod_recall,far,f1_score,specificity,csi,tn,fp,fn,tp,model
0.31,0.6498371335504886,0.5538116591928252,0.9391634980988594,0.4461883408071749,0.6967559943582511,0.43304843304843305,0.5346320346320347,152,199,16,247,DNN
0.32,0.6547231270358306,0.5575620767494357,0.9391634980988594,0.44243792325056436,0.6997167138810199,0.4415954415954416,0.5381263616557734,155,196,16,247,DNN
0.33,0.6563517915309446,0.5588235294117647,0.9391634980988594,0.4411764705882353,0.700709219858156,0.4444444444444444,0.5393013100436681,156,195,16,247,DNN
0.34,0.6661237785016286,0.5668202764976958,0.935361216730038,0.43317972350230416,0.7058823529411765,0.46438746438746437,0.5454545454545454,163,188,17,246,DNN
0.35,0.6677524429967426,0.568445475638051,0.9315589353612167,0.43155452436194897,0.7060518731988472,0.4700854700854701,0.5456570155902004,165,186,18,245,DNN
0.36,0.6726384364820847,0.5731132075471698,0.9239543726235742,0.4268867924528302,0.7074235807860262,0.4843304843304843,0.5472972972972973,170,181,20,243,DNN
0.37,0.6710097719869706,0.5727923627684964,0.9125475285171103,0.42720763723150357,0.7038123167155426,0.49002849002849,0.5429864253393665,172,179,23,240,DNN
0.38,0.6791530944625407,0.5804878048780487,0.9049429657794676,0.4195121951219512,0.7072808320950966,0.50997150997151,0.5471264367816092,179,172,25,238,DNN
0.39,0.6791530944625407,0.5812807881773399,0.8973384030418251,0.4187192118226601,0.7055306427503737,0.5156695156695157,0.5450346420323325,181,170,27,236,DNN
0.4,0.6872964169381107,0.5889724310776943,0.8935361216730038,0.41102756892230574,0.7099697885196374,0.5327635327635327,0.550351288056206,187,164,28,235,DNN
0.41,0.6938110749185668,0.5954198473282443,0.8897338403041825,0.40458015267175573,0.7134146341463414,0.5470085470085471,0.5545023696682464,192,159,29,234,DNN
0.42,0.6938110749185668,0.596401028277635,0.8821292775665399,0.40359897172236503,0.7116564417177914,0.5527065527065527,0.5523809523809524,194,157,31,232,DNN
0.43,0.6986970684039088,0.6026315789473684,0.870722433460076,0.3973684210526316,0.7122861586314152,0.5698005698005698,0.5531400966183575,200,151,34,229,DNN
0.44,0.7019543973941368,0.606951871657754,0.8631178707224335,0.393048128342246,0.7127158555729984,0.5811965811965812,0.5536585365853659,204,147,36,227,DNN
0.45,0.7035830618892508,0.6103542234332425,0.8517110266159695,0.3896457765667575,0.7111111111111111,0.5925925925925926,0.5517241379310345,208,143,39,224,DNN
0.46,0.7035830618892508,0.6115702479338843,0.844106463878327,0.3884297520661157,0.7092651757188498,0.5982905982905983,0.5495049504950495,210,141,41,222,DNN
0.47,0.7084690553745928,0.6179775280898876,0.8365019011406845,0.38202247191011235,0.7108239095315024,0.6125356125356125,0.5513784461152882,215,136,43,220,DNN
0.48,0.7084690553745928,0.6206896551724138,0.8212927756653993,0.3793103448275862,0.707037643207856,0.6239316239316239,0.5468354430379747,219,132,47,216,DNN
0.49,0.7149837133550488,0.6301775147928994,0.8098859315589354,0.3698224852071006,0.7088186356073212,0.6438746438746439,0.5489690721649485,226,125,50,213,DNN
0.5,0.7166123778501629,0.6336336336336337,0.8022813688212928,0.3663663663663664,0.7080536912751678,0.6524216524216524,0.548051948051948,229,122,52,211,DNN
0.51,0.7214983713355049,0.6419753086419753,0.7908745247148289,0.35802469135802467,0.7086882453151618,0.6695156695156695,0.5488126649076517,235,116,55,208,DNN
0.52,0.7182410423452769,0.6424050632911392,0.7718631178707225,0.3575949367088608,0.7012089810017271,0.6780626780626781,0.5398936170212766,238,113,60,203,DNN
0.53,0.7198697068403909,0.645367412140575,0.7680608365019012,0.3546325878594249,0.7013888888888888,0.6837606837606838,0.5401069518716578,240,111,61,202,DNN
0.54,0.7198697068403909,0.6482084690553745,0.7566539923954373,0.3517915309446254,0.6982456140350877,0.6923076923076923,0.5363881401617251,243,108,64,199,DNN
0.55,0.7280130293159609,0.6610738255033557,0.7490494296577946,0.3389261744966443,0.7023172905525846,0.7122507122507122,0.5412087912087912,250,101,66,197,DNN
0.56,0.7263843648208469,0.6655052264808362,0.7262357414448669,0.3344947735191638,0.6945454545454546,0.7264957264957265,0.532033426183844,255,96,72,191,DNN
0.57,0.7214983713355049,0.6666666666666666,0.6996197718631179,0.3333333333333333,0.6827458256029685,0.7378917378917379,0.5183098591549296,259,92,79,184,DNN
0.58,0.7247557003257329,0.678030303030303,0.6806083650190115,0.32196969696969696,0.6793168880455408,0.7578347578347578,0.514367816091954,266,85,84,179,DNN
0.59,0.7166123778501629,0.680161943319838,0.6387832699619772,0.31983805668016196,0.6588235294117647,0.7749287749287749,0.49122807017543857,272,79,95,168,DNN
0.6,0.7149837133550488,0.688034188034188,0.6121673003802282,0.31196581196581197,0.647887323943662,0.792022792022792,0.4791666666666667,278,73,102,161,DNN
0.61,0.7231270358306189,0.7085201793721974,0.6007604562737643,0.2914798206278027,0.6502057613168725,0.8148148148148148,0.4817073170731707,286,65,105,158,DNN
0.62,0.7068403908794788,0.6985645933014354,0.5551330798479087,0.3014354066985646,0.6186440677966102,0.8205128205128205,0.44785276073619634,288,63,117,146,DNN
0.63,0.7019543973941368,0.7040816326530612,0.5247148288973384,0.29591836734693877,0.6013071895424836,0.8347578347578347,0.42990654205607476,293,58,125,138,DNN
0.64,0.6921824104234527,0.7102272727272727,0.4752851711026616,0.2897727272727273,0.5694760820045558,0.8547008547008547,0.3980891719745223,300,51,138,125,DNN
0.65,0.6840390879478827,0.7142857142857143,0.4372623574144487,0.2857142857142857,0.5424528301886793,0.8689458689458689,0.37216828478964403,305,46,148,115,DNN
0.66,0.6547231270358306,0.6917293233082706,0.34980988593155893,0.3082706766917293,0.46464646464646464,0.8831908831908832,0.3026315789473684,310,41,171,92,DNN
0.67,0.6482084690553745,0.6942148760330579,0.3193916349809886,0.30578512396694213,0.4375,0.8945868945868946,0.28,314,37,179,84,DNN
0.68,0.6351791530944625,0.696969696969697,0.2623574144486692,0.30303030303030304,0.3812154696132597,0.9145299145299145,0.2354948805460751,321,30,194,69,DNN
0.69,0.6237785016286646,0.686046511627907,0.22433460076045628,0.313953488372093,0.33810888252148996,0.9230769230769231,0.20344827586206896,324,27,204,59,DNN
0.7,0.6172638436482085,0.6842105263157895,0.19771863117870722,0.3157894736842105,0.30678466076696165,0.9316239316239316,0.18118466898954705,327,24,211,52,DNN
0.71,0.6188925081433225,0.7164179104477612,0.18250950570342206,0.2835820895522388,0.2909090909090909,0.9458689458689459,0.1702127659574468,332,19,215,48,DNN
0.72,0.6140065146579805,0.7166666666666667,0.1634980988593156,0.2833333333333333,0.26625386996904027,0.9515669515669516,0.15357142857142858,334,17,220,43,DNN
0.73,0.6058631921824105,0.6981132075471698,0.14068441064638784,0.3018867924528302,0.23417721518987342,0.9544159544159544,0.13261648745519714,335,16,226,37,DNN
0.74,0.6009771986970684,0.7045454545454546,0.11787072243346007,0.29545454545454547,0.20195439739413681,0.9629629629629629,0.11231884057971014,338,13,232,31,DNN
0.75,0.5944625407166124,0.6842105263157895,0.09885931558935361,0.3157894736842105,0.17275747508305647,0.9658119658119658,0.09454545454545454,339,12,237,26,DNN
0.76,0.5879478827361564,0.65625,0.07984790874524715,0.34375,0.1423728813559322,0.9686609686609686,0.07664233576642336,340,11,242,21,DNN
0.77,0.5895765472312704,0.7037037037037037,0.07224334600760456,0.2962962962962963,0.1310344827586207,0.9772079772079773,0.07011070110701106,343,8,244,19,DNN
0.78,0.5863192182410424,0.6956521739130435,0.060836501901140684,0.30434782608695654,0.11188811188811189,0.98005698005698,0.05925925925925926,344,7,247,16,DNN
0.79,0.5830618892508144,0.6666666666666666,0.053231939163498096,0.3333333333333333,0.09859154929577464,0.98005698005698,0.05185185185185185,344,7,249,14,DNN
0.8,0.5846905537459284,0.7222222222222222,0.049429657794676805,0.2777777777777778,0.09252669039145907,0.9857549857549858,0.048507462686567165,346,5,250,13,DNN
0.81,0.5830618892508144,0.7058823529411765,0.045627376425855515,0.29411764705882354,0.08571428571428572,0.9857549857549858,0.04477611940298507,346,5,251,12,DNN
0.82,0.5814332247557004,0.7142857142857143,0.03802281368821293,0.2857142857142857,0.07220216606498195,0.9886039886039886,0.03745318352059925,347,4,253,10,DNN
0.83,0.5798045602605864,0.6923076923076923,0.034220532319391636,0.3076923076923077,0.06521739130434782,0.9886039886039886,0.033707865168539325,347,4,254,9,DNN
0.84,0.5814332247557004,0.75,0.034220532319391636,0.25,0.06545454545454546,0.9914529914529915,0.03383458646616541,348,3,254,9,DNN
0.85,0.5798045602605864,0.7272727272727273,0.030418250950570342,0.2727272727272727,0.058394160583941604,0.9914529914529915,0.03007518796992481,348,3,255,8,DNN
0.86,0.5781758957654723,0.7,0.026615969581749048,0.3,0.05128205128205128,0.9914529914529915,0.02631578947368421,348,3,256,7,DNN
0.87,0.5732899022801303,0.5714285714285714,0.015209125475285171,0.42857142857142855,0.02962962962962963,0.9914529914529915,0.015037593984962405,348,3,259,4,DNN
0.88,0.5732899022801303,0.5714285714285714,0.015209125475285171,0.42857142857142855,0.02962962962962963,0.9914529914529915,0.015037593984962405,348,3,259,4,DNN
0.89,0.5732899022801303,0.5714285714285714,0.015209125475285171,0.42857142857142855,0.02962962962962963,0.9914529914529915,0.015037593984962405,348,3,259,4,DNN
0.9,0.5732899022801303,0.5714285714285714,0.015209125475285171,0.42857142857142855,0.02962962962962963,0.9914529914529915,0.015037593984962405,348,3,259,4,DNN
