threshold,accuracy,precision,pod_recall,far,f1_score,specificity,csi,tn,fp,fn,tp,model
0.34,0.6514657980456026,0.5550561797752809,0.9391634980988594,0.4449438202247191,0.6977401129943502,0.4358974358974359,0.5357917570498916,153,198,16,247,TCN
0.35,0.6579804560260586,0.5603644646924829,0.935361216730038,0.4396355353075171,0.7008547008547008,0.45014245014245013,0.5394736842105263,158,193,17,246,TCN
0.36,0.6612377850162866,0.5635103926096998,0.9277566539923955,0.43648960739030024,0.7011494252873564,0.46153846153846156,0.5398230088495575,162,189,19,244,TCN
0.37,0.6612377850162866,0.5647058823529412,0.9125475285171103,0.43529411764705883,0.6976744186046512,0.47293447293447294,0.5357142857142857,166,185,23,240,TCN
0.38,0.6726384364820847,0.5745192307692307,0.908745247148289,0.4254807692307692,0.7039764359351989,0.49572649572649574,0.5431818181818182,174,177,24,239,TCN
0.39,0.6726384364820847,0.5752427184466019,0.9011406844106464,0.42475728155339804,0.7022222222222222,0.5014245014245015,0.541095890410959,176,175,26,237,TCN
0.4,0.6726384364820847,0.5759803921568627,0.8935361216730038,0.42401960784313725,0.7004470938897168,0.5071225071225072,0.5389908256880734,178,173,28,235,TCN
0.41,0.6742671009771987,0.5789473684210527,0.8783269961977186,0.42105263157894735,0.6978851963746223,0.5213675213675214,0.5359628770301624,183,168,32,231,TCN
0.42,0.6791530944625407,0.5841836734693877,0.870722433460076,0.41581632653061223,0.6992366412213741,0.5356125356125356,0.5375586854460094,188,163,34,229,TCN
0.43,0.6758957654723127,0.582901554404145,0.8555133079847909,0.4170984455958549,0.6933744221879815,0.5413105413105413,0.5306603773584906,190,161,38,225,TCN
0.44,0.6856677524429967,0.5930851063829787,0.8479087452471483,0.40691489361702127,0.6979655712050078,0.5641025641025641,0.5360576923076923,198,153,40,223,TCN
0.45,0.6889250814332247,0.5983606557377049,0.8326996197718631,0.4016393442622951,0.6963434022257552,0.5811965811965812,0.5341463414634147,204,147,44,219,TCN
0.46,0.6889250814332247,0.601123595505618,0.8136882129277566,0.398876404494382,0.691437802907916,0.5954415954415955,0.528395061728395,209,142,49,214,TCN
0.47,0.6824104234527687,0.5977011494252874,0.7908745247148289,0.40229885057471265,0.6808510638297872,0.6011396011396012,0.5161290322580645,211,140,55,208,TCN
0.48,0.6840390879478827,0.6023738872403561,0.7718631178707225,0.39762611275964393,0.6766666666666666,0.6182336182336182,0.5113350125944585,217,134,60,203,TCN
0.49,0.6905537459283387,0.6116207951070336,0.7604562737642585,0.38837920489296635,0.6779661016949152,0.6381766381766382,0.5128205128205128,224,127,63,200,TCN
0.5,0.6921824104234527,0.6163522012578616,0.7452471482889734,0.3836477987421384,0.6746987951807228,0.6524216524216524,0.509090909090909,229,122,67,196,TCN
0.51,0.6954397394136808,0.6225806451612903,0.7338403041825095,0.3774193548387097,0.6736474694589878,0.6666666666666666,0.5078947368421053,234,117,70,193,TCN
0.52,0.6970684039087948,0.6305084745762712,0.7072243346007605,0.3694915254237288,0.6666666666666666,0.6894586894586895,0.5,242,109,77,186,TCN
0.53,0.7084690553745928,0.6468531468531469,0.7034220532319392,0.3531468531468531,0.6739526411657559,0.7122507122507122,0.5082417582417582,250,101,78,185,TCN
0.54,0.6970684039087948,0.6441947565543071,0.6539923954372624,0.35580524344569286,0.6490566037735849,0.7293447293447294,0.48044692737430167,256,95,91,172,TCN
0.55,0.7019543973941368,0.6587301587301587,0.6311787072243346,0.3412698412698413,0.6446601941747573,0.7549857549857549,0.47564469914040114,265,86,97,166,TCN
0.56,0.7035830618892508,0.6666666666666666,0.6159695817490495,0.3333333333333333,0.6403162055335968,0.7692307692307693,0.47093023255813954,270,81,101,162,TCN
